Local time,Open,High,Low,Close,Volume
01.03.2009 17:00:00.000 GMT-0500,0.63879,0.64001,0.62887,0.62970,78083.9104
02.03.2009 17:00:00.000 GMT-0500,0.62975,0.64630,0.62850,0.63765,80068.9007
03.03.2009 17:00:00.000 GMT-0500,0.63750,0.65260,0.62860,0.64940,77278.3991
04.03.2009 17:00:00.000 GMT-0500,0.64935,0.64950,0.63550,0.63795,78395.6
05.03.2009 17:00:00.000 GMT-0500,0.63795,0.64711,0.63681,0.64026,71947.8397
06.03.2009 17:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
07.03.2009 17:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
08.03.2009 16:00:00.000 GMT-0500,0.64040,0.64500,0.63050,0.63145,74375.39970000001
09.03.2009 16:00:00.000 GMT-0500,0.63150,0.64880,0.63050,0.64570,83762.68030000002
10.03.2009 16:00:00.000 GMT-0500,0.64570,0.65250,0.64000,0.65200,84613.50049999998
11.03.2009 16:00:00.000 GMT-0500,0.65195,0.65760,0.64120,0.65440,92049.02050000001
12.03.2009 16:00:00.000 GMT-0500,0.65440,0.66035,0.65100,0.65769,70962.00010000002
13.03.2009 16:00:00.000 GMT-0500,0.65769,0.65769,0.65769,0.65769,0
14.03.2009 16:00:00.000 GMT-0500,0.65769,0.65769,0.65769,0.65769,0
15.03.2009 16:00:00.000 GMT-0500,0.65519,0.66370,0.65235,0.65890,72981.37989999999
16.03.2009 16:00:00.000 GMT-0500,0.65900,0.66235,0.65665,0.66175,70221.6101
17.03.2009 16:00:00.000 GMT-0500,0.66165,0.68020,0.65645,0.67630,77719.19960000002
18.03.2009 16:00:00.000 GMT-0500,0.67625,0.69430,0.67230,0.68495,97002.03009999999
19.03.2009 16:00:00.000 GMT-0500,0.68498,0.69312,0.68448,0.68654,76376.6401
20.03.2009 16:00:00.000 GMT-0500,0.68654,0.68654,0.68654,0.68654,0
21.03.2009 16:00:00.000 GMT-0500,0.68654,0.68654,0.68654,0.68654,0
22.03.2009 16:00:00.000 GMT-0500,0.69045,0.70570,0.68996,0.70505,82966.75049999998
23.03.2009 16:00:00.000 GMT-0500,0.70500,0.70940,0.69317,0.69530,90390.4202
24.03.2009 16:00:00.000 GMT-0500,0.69530,0.70490,0.69030,0.69745,86075.1704
25.03.2009 16:00:00.000 GMT-0500,0.69750,0.70400,0.69625,0.70135,75716.5702
26.03.2009 16:00:00.000 GMT-0500,0.70130,0.70301,0.68656,0.69365,70342.15960000001
27.03.2009 16:00:00.000 GMT-0500,0.69365,0.69365,0.69365,0.69365,0
28.03.2009 16:00:00.000 GMT-0500,0.69365,0.69365,0.69365,0.69365,0
29.03.2009 16:00:00.000 GMT-0500,0.69002,0.69248,0.67690,0.68120,80561.95
30.03.2009 16:00:00.000 GMT-0500,0.68120,0.69690,0.67870,0.69100,81253.0708
