Local time,Open,High,Low,Close,Volume
01.03.2009 21:00:00.000 GMT-0500,0.63535,0.63540,0.63055,0.63325,8523.7803
02.03.2009 01:00:00.000 GMT-0500,0.63330,0.63830,0.63220,0.63560,14922.5602
02.03.2009 05:00:00.000 GMT-0500,0.63560,0.63585,0.63090,0.63395,14745.300299999999
02.03.2009 09:00:00.000 GMT-0500,0.63390,0.63575,0.62895,0.63085,19759.9997
02.03.2009 13:00:00.000 GMT-0500,0.63085,0.63360,0.62887,0.62970,10141.8701
02.03.2009 17:00:00.000 GMT-0500,0.62975,0.63285,0.62850,0.63260,7019.0199999999995
02.03.2009 21:00:00.000 GMT-0500,0.63260,0.64160,0.63255,0.64085,11089.5903
03.03.2009 01:00:00.000 GMT-0500,0.64085,0.64575,0.64050,0.64105,17328.5203
03.03.2009 05:00:00.000 GMT-0500,0.64100,0.64630,0.63878,0.64590,16210.939999999999
03.03.2009 09:00:00.000 GMT-0500,0.64590,0.64615,0.63680,0.64035,17685.239999999998
03.03.2009 13:00:00.000 GMT-0500,0.64035,0.64320,0.63700,0.63765,10735.590100000001
03.03.2009 17:00:00.000 GMT-0500,0.63750,0.63865,0.62860,0.63225,9499.07
03.03.2009 21:00:00.000 GMT-0500,0.63225,0.63405,0.63165,0.63285,8138
04.03.2009 01:00:00.000 GMT-0500,0.63275,0.64015,0.63255,0.63815,15272.01
04.03.2009 05:00:00.000 GMT-0500,0.63815,0.64370,0.63740,0.64370,13642.369600000002
04.03.2009 09:00:00.000 GMT-0500,0.64350,0.65115,0.64165,0.64760,20265.729700000004
04.03.2009 13:00:00.000 GMT-0500,0.64760,0.65260,0.64715,0.64940,10461.2198
04.03.2009 17:00:00.000 GMT-0500,0.64935,0.64950,0.64390,0.64425,7717.8802
04.03.2009 21:00:00.000 GMT-0500,0.64430,0.64455,0.64115,0.64285,8471
05.03.2009 01:00:00.000 GMT-0500,0.64280,0.64455,0.64150,0.64260,13322.4899
05.03.2009 05:00:00.000 GMT-0500,0.64255,0.64325,0.63750,0.63920,17181.6201
05.03.2009 09:00:00.000 GMT-0500,0.63920,0.64470,0.63770,0.63845,18113.8899
05.03.2009 13:00:00.000 GMT-0500,0.63845,0.64030,0.63550,0.63795,13588.7199
05.03.2009 17:00:00.000 GMT-0500,0.63795,0.64211,0.63710,0.64077,6282.92
05.03.2009 21:00:00.000 GMT-0500,0.64079,0.64323,0.64059,0.64184,5896.239799999999
06.03.2009 01:00:00.000 GMT-0500,0.64191,0.64559,0.63681,0.63867,16020.82
06.03.2009 05:00:00.000 GMT-0500,0.63870,0.64470,0.63713,0.64428,14856.5401
06.03.2009 09:00:00.000 GMT-0500,0.64425,0.64711,0.63803,0.64070,19672.2898
06.03.2009 13:00:00.000 GMT-0500,0.64069,0.64180,0.63720,0.64026,9219.03
06.03.2009 17:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
06.03.2009 21:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
07.03.2009 01:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
07.03.2009 05:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
07.03.2009 09:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
07.03.2009 13:00:00.000 GMT-0500,0.64026,0.64026,0.64026,0.64026,0
