Local time,Open,High,Low,Close,Volume
01.03.2009 17:00:00.000 GMT-0500,1.26295,1.26368,1.25455,1.25770,841574.7646000002
02.03.2009 17:00:00.000 GMT-0500,1.25770,1.26775,1.25210,1.25605,870558.6634999999
03.03.2009 17:00:00.000 GMT-0500,1.25605,1.26620,1.24560,1.26595,894790.4123
04.03.2009 17:00:00.000 GMT-0500,1.26595,1.26630,1.24805,1.25385,712556.0385
05.03.2009 17:00:00.000 GMT-0500,1.25385,1.27505,1.25315,1.26485,812434.0405000001
06.03.2009 17:00:00.000 GMT-0500,1.26485,1.26485,1.26485,1.26485,0
07.03.2009 17:00:00.000 GMT-0500,1.26485,1.26485,1.26485,1.26485,0
08.03.2009 16:00:00.000 GMT-0500,1.26488,1.27265,1.25555,1.26110,1054733.5655000003
09.03.2009 16:00:00.000 GMT-0500,1.26100,1.28215,1.25795,1.26815,1038032.0738000001
10.03.2009 16:00:00.000 GMT-0500,1.26815,1.28645,1.26160,1.28355,1082246.2100000002
11.03.2009 16:00:00.000 GMT-0500,1.28355,1.29445,1.27315,1.29095,1027864.9134
12.03.2009 16:00:00.000 GMT-0500,1.29107,1.29570,1.28620,1.29280,844985.0263
13.03.2009 16:00:00.000 GMT-0500,1.29280,1.29280,1.29280,1.29280,0
14.03.2009 16:00:00.000 GMT-0500,1.29280,1.29280,1.29280,1.29280,0
15.03.2009 16:00:00.000 GMT-0500,1.28791,1.30710,1.28375,1.29675,1113245.9294
16.03.2009 16:00:00.000 GMT-0500,1.29660,1.30325,1.29300,1.30160,751285.2814000001
17.03.2009 16:00:00.000 GMT-0500,1.30160,1.34970,1.29860,1.34746,980861.4655999999
18.03.2009 16:00:00.000 GMT-0500,1.34744,1.37375,1.34165,1.36645,995022.2466
19.03.2009 16:00:00.000 GMT-0500,1.36635,1.37260,1.35170,1.35795,846641.1270000001
20.03.2009 16:00:00.000 GMT-0500,1.35795,1.35795,1.35795,1.35795,0
21.03.2009 16:00:00.000 GMT-0500,1.35795,1.35795,1.35795,1.35795,0
22.03.2009 16:00:00.000 GMT-0500,1.36200,1.37360,1.34850,1.36325,767652.7676
23.03.2009 16:00:00.000 GMT-0500,1.36320,1.36780,1.34305,1.34675,1087637.4113
24.03.2009 16:00:00.000 GMT-0500,1.34670,1.36465,1.34180,1.35810,830517.5515999999
25.03.2009 16:00:00.000 GMT-0500,1.35810,1.36385,1.34940,1.35255,930663.4423999999
26.03.2009 16:00:00.000 GMT-0500,1.35260,1.35910,1.32565,1.32870,693162.8809999999
27.03.2009 16:00:00.000 GMT-0500,1.32870,1.32870,1.32870,1.32870,0
28.03.2009 16:00:00.000 GMT-0500,1.32870,1.32870,1.32870,1.32870,0
29.03.2009 16:00:00.000 GMT-0500,1.32282,1.32845,1.31160,1.31980,684765.5227000001
30.03.2009 16:00:00.000 GMT-0500,1.31980,1.33425,1.31735,1.32495,748960.0717
31.03.2009 16:00:00.000 GMT-0500,1.32500,1.32860,1.31665,1.32461,698982.7539000001
01.04.2009 16:00:00.000 GMT-0500,1.32459,1.35170,1.32225,1.34595,676197.6181000001
02.04.2009 16:00:00.000 GMT-0500,1.34595,1.34950,1.33650,1.34835,617961.1596999998
03.04.2009 16:00:00.000 GMT-0500,1.34835,1.34835,1.34835,1.34835,0
04.04.2009 16:00:00.000 GMT-0500,1.34835,1.34835,1.34835,1.34835,0
05.04.2009 16:00:00.000 GMT-0500,1.34955,1.35815,1.33580,1.34155,627368.4696
06.04.2009 16:00:00.000 GMT-0500,1.34160,1.34180,1.32265,1.32710,672360.6895000001
07.04.2009 16:00:00.000 GMT-0500,1.32705,1.33075,1.31480,1.32810,727689.9443999999
08.04.2009 16:00:00.000 GMT-0500,1.32810,1.33355,1.31260,1.31680,584033.7445999999
09.04.2009 16:00:00.000 GMT-0500,1.31680,1.31875,1.30920,1.31845,201603.29929999998
10.04.2009 16:00:00.000 GMT-0500,1.31845,1.31845,1.31845,1.31845,0
11.04.2009 16:00:00.000 GMT-0500,1.31845,1.31845,1.31845,1.31845,0
12.04.2009 16:00:00.000 GMT-0500,1.31862,1.33915,1.31270,1.33655,236904.22599999997
13.04.2009 16:00:00.000 GMT-0500,1.33650,1.33800,1.32260,1.32585,514701.43860000005
14.04.2009 16:00:00.000 GMT-0500,1.32570,1.32975,1.31460,1.32265,608280.0537999999
15.04.2009 16:00:00.000 GMT-0500,1.32255,1.32680,1.31265,1.31860,624422.7428000001
16.04.2009 16:00:00.000 GMT-0500,1.31855,1.31970,1.30170,1.30430,600969.9584
17.04.2009 16:00:00.000 GMT-0500,1.30430,1.30430,1.30430,1.30430,0
18.04.2009 16:00:00.000 GMT-0500,1.30430,1.30430,1.30430,1.30430,0
19.04.2009 16:00:00.000 GMT-0500,1.30577,1.30591,1.28910,1.29208,551599.2832
20.04.2009 16:00:00.000 GMT-0500,1.29203,1.29935,1.28965,1.29458,554143.4508
21.04.2009 16:00:00.000 GMT-0500,1.29456,1.30370,1.28845,1.30050,604963.8989
22.04.2009 16:00:00.000 GMT-0500,1.30045,1.31605,1.29795,1.31425,539688.1019000001
23.04.2009 16:00:00.000 GMT-0500,1.31420,1.33010,1.31125,1.32395,559808.3520999999
24.04.2009 16:00:00.000 GMT-0500,1.32395,1.32395,1.32395,1.32395,0
25.04.2009 16:00:00.000 GMT-0500,1.32395,1.32395,1.32395,1.32395,0
26.04.2009 16:00:00.000 GMT-0500,1.32440,1.32458,1.29985,1.30350,554875.6237
27.04.2009 16:00:00.000 GMT-0500,1.30333,1.31660,1.29635,1.31475,496166.2783999999
28.04.2009 16:00:00.000 GMT-0500,1.31475,1.33390,1.31200,1.32698,479539.3331
29.04.2009 16:00:00.000 GMT-0500,1.32697,1.33855,1.31905,1.32295,478309.3914999999
30.04.2009 16:00:00.000 GMT-0500,1.32285,1.33275,1.32180,1.32705,325613.72189999995
01.05.2009 16:00:00.000 GMT-0500,1.32705,1.32705,1.32705,1.32705,0
02.05.2009 16:00:00.000 GMT-0500,1.32705,1.32705,1.32705,1.32705,0
03.05.2009 16:00:00.000 GMT-0500,1.32678,1.34222,1.32120,1.34045,445712.6862
04.05.2009 16:00:00.000 GMT-0500,1.34055,1.34375,1.32820,1.33290,407620.6066
05.05.2009 16:00:00.000 GMT-0500,1.33285,1.33745,1.32455,1.33335,502039.2221999999
06.05.2009 16:00:00.000 GMT-0500,1.33335,1.34700,1.32515,1.33880,370806.60399999993
