Local time,Open,High,Low,Close,Volume
28.02.2014 21:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
01.03.2014 01:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
01.03.2014 05:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
01.03.2014 09:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
01.03.2014 13:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
01.03.2014 17:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
01.03.2014 21:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
02.03.2014 01:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
02.03.2014 05:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
02.03.2014 09:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
02.03.2014 13:00:00.000 GMT-0500,1.37990,1.37990,1.37990,1.37990,0
02.03.2014 17:00:00.000 GMT-0500,1.37593,1.37883,1.37551,1.37774,14952.8898
02.03.2014 21:00:00.000 GMT-0500,1.37775,1.37863,1.37741,1.37814,7570.11
03.03.2014 01:00:00.000 GMT-0500,1.37815,1.37926,1.37668,1.37784,25487.7798
03.03.2014 05:00:00.000 GMT-0500,1.37784,1.37845,1.37583,1.37744,26958.7198
03.03.2014 09:00:00.000 GMT-0500,1.37744,1.37805,1.37357,1.37359,41064.2099
03.03.2014 13:00:00.000 GMT-0500,1.37357,1.37444,1.37263,1.37346,17576.5297
03.03.2014 17:00:00.000 GMT-0500,1.37345,1.37387,1.37208,1.37226,8609.4899
03.03.2014 21:00:00.000 GMT-0500,1.37226,1.37353,1.37224,1.37315,8954.949700000001
04.03.2014 01:00:00.000 GMT-0500,1.37316,1.37735,1.37294,1.37518,30954.4908
04.03.2014 05:00:00.000 GMT-0500,1.37521,1.37815,1.37495,1.37648,31425.1806
04.03.2014 09:00:00.000 GMT-0500,1.37646,1.37648,1.37260,1.37333,33220.98
04.03.2014 13:00:00.000 GMT-0500,1.37333,1.37450,1.37316,1.37430,11893.9799
04.03.2014 17:00:00.000 GMT-0500,1.37430,1.37440,1.37333,1.37375,8623.0701
04.03.2014 21:00:00.000 GMT-0500,1.37375,1.37385,1.37270,1.37285,8956.8001
05.03.2014 01:00:00.000 GMT-0500,1.37285,1.37449,1.37201,1.37338,24658.5401
05.03.2014 05:00:00.000 GMT-0500,1.37339,1.37488,1.37075,1.37166,36318.5898
05.03.2014 09:00:00.000 GMT-0500,1.37168,1.37466,1.37098,1.37349,30279.4507
05.03.2014 13:00:00.000 GMT-0500,1.37348,1.37394,1.37266,1.37328,9826.34
05.03.2014 17:00:00.000 GMT-0500,1.37324,1.37366,1.37267,1.37283,9085.830100000001
05.03.2014 21:00:00.000 GMT-0500,1.37286,1.37294,1.37229,1.37249,7240.45
06.03.2014 01:00:00.000 GMT-0500,1.37247,1.37383,1.37212,1.37343,19748.9299
06.03.2014 05:00:00.000 GMT-0500,1.37343,1.38232,1.37240,1.38151,56447.8491
06.03.2014 09:00:00.000 GMT-0500,1.38152,1.38729,1.38078,1.38590,56210.9502
06.03.2014 13:00:00.000 GMT-0500,1.38593,1.38691,1.38553,1.38608,13491.380000000001
06.03.2014 17:00:00.000 GMT-0500,1.38608,1.38675,1.38574,1.38593,11493.6099
06.03.2014 21:00:00.000 GMT-0500,1.38594,1.38610,1.38556,1.38595,8688.970000000001
07.03.2014 01:00:00.000 GMT-0500,1.38596,1.38835,1.38563,1.38786,23382.54
07.03.2014 05:00:00.000 GMT-0500,1.38786,1.39150,1.38521,1.38532,51049.1191
07.03.2014 09:00:00.000 GMT-0500,1.38532,1.38804,1.38530,1.38749,39885.8207
07.03.2014 13:00:00.000 GMT-0500,1.38749,1.38787,1.38664,1.38753,10497.660100000001
07.03.2014 17:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
07.03.2014 21:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
08.03.2014 01:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
08.03.2014 05:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
08.03.2014 09:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
08.03.2014 13:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
08.03.2014 17:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
08.03.2014 21:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
09.03.2014 01:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
09.03.2014 04:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
09.03.2014 08:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
09.03.2014 12:00:00.000 GMT-0500,1.38753,1.38753,1.38753,1.38753,0
09.03.2014 16:00:00.000 GMT-0500,1.38749,1.38874,1.38697,1.38844,6918.8701
09.03.2014 20:00:00.000 GMT-0500,1.38845,1.38921,1.38807,1.38843,9687.379799999999
10.03.2014 00:00:00.000 GMT-0500,1.38843,1.38978,1.38761,1.38936,19341.809699999998
10.03.2014 04:00:00.000 GMT-0500,1.38932,1.38960,1.38677,1.38860,25016.4702
10.03.2014 08:00:00.000 GMT-0500,1.38859,1.38873,1.38616,1.38778,32419.2402
10.03.2014 12:00:00.000 GMT-0500,1.38779,1.38812,1.38678,1.38760,11803.689999999999
10.03.2014 16:00:00.000 GMT-0500,1.38761,1.38787,1.38706,1.38718,6492.599899999999
10.03.2014 20:00:00.000 GMT-0500,1.38719,1.38736,1.38656,1.38659,8889.7998
11.03.2014 00:00:00.000 GMT-0500,1.38658,1.38725,1.38472,1.38574,23419.8998
11.03.2014 04:00:00.000 GMT-0500,1.38574,1.38640,1.38338,1.38562,35554.8798
11.03.2014 08:00:00.000 GMT-0500,1.38562,1.38753,1.38488,1.38600,31198.699699999997
11.03.2014 12:00:00.000 GMT-0500,1.38600,1.38766,1.38572,1.38595,17085.6303
11.03.2014 16:00:00.000 GMT-0500,1.38595,1.38614,1.38517,1.38568,7918.8099999999995
11.03.2014 20:00:00.000 GMT-0500,1.38569,1.38645,1.38511,1.38544,13592.4297
12.03.2014 00:00:00.000 GMT-0500,1.38544,1.38613,1.38433,1.38510,18985.8799
12.03.2014 04:00:00.000 GMT-0500,1.38509,1.39052,1.38475,1.38921,43317.129499999995
12.03.2014 08:00:00.000 GMT-0500,1.38920,1.39138,1.38798,1.39100,45760.7901
12.03.2014 12:00:00.000 GMT-0500,1.39100,1.39142,1.38976,1.39029,15438.440099999998
12.03.2014 16:00:00.000 GMT-0500,1.39030,1.39074,1.38973,1.39006,9134.2302
12.03.2014 20:00:00.000 GMT-0500,1.39006,1.39484,1.38962,1.39423,20713.23
13.03.2014 00:00:00.000 GMT-0500,1.39423,1.39562,1.39323,1.39522,29636.6406
13.03.2014 04:00:00.000 GMT-0500,1.39523,1.39667,1.39371,1.39432,37528.8505
13.03.2014 08:00:00.000 GMT-0500,1.39431,1.39570,1.38937,1.38948,64057.260800000004
13.03.2014 12:00:00.000 GMT-0500,1.38944,1.39097,1.38456,1.38687,38359.878899999996
13.03.2014 16:00:00.000 GMT-0500,1.38687,1.38780,1.38576,1.38625,19371.3803
13.03.2014 20:00:00.000 GMT-0500,1.38624,1.38723,1.38562,1.38619,12384.980000000001
14.03.2014 00:00:00.000 GMT-0500,1.38620,1.38784,1.38476,1.38740,23150.880400000002
14.03.2014 04:00:00.000 GMT-0500,1.38739,1.38954,1.38631,1.38810,40694.3608
14.03.2014 08:00:00.000 GMT-0500,1.38810,1.39372,1.38809,1.39129,56501.4707
14.03.2014 12:00:00.000 GMT-0500,1.39129,1.39186,1.38975,1.39126,15443.939799999998
14.03.2014 16:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
14.03.2014 20:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
15.03.2014 00:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
15.03.2014 04:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
15.03.2014 08:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
15.03.2014 12:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
15.03.2014 16:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
15.03.2014 20:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
16.03.2014 00:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
16.03.2014 04:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
16.03.2014 08:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
16.03.2014 12:00:00.000 GMT-0500,1.39126,1.39126,1.39126,1.39126,0
